DateKey,Date,Day,WeekNr,Month,MonthShort,MonthNo,Quarter,Year
20050314,3/14/2005,Monday,12,March,Mar,3,1,2005
20050315,3/15/2005,Tuesday,12,March,Mar,3,1,2005
20050316,3/16/2005,Wednesday,12,March,Mar,3,1,2005
20050317,3/17/2005,Thursday,12,March,Mar,3,1,2005
20050318,3/18/2005,Friday,12,March,Mar,3,1,2005
20050319,3/19/2005,Saturday,12,March,Mar,3,1,2005
20050320,3/20/2005,Sunday,13,March,Mar,3,1,2005
20050321,3/21/2005,Monday,13,March,Mar,3,1,2005
20050322,3/22/2005,Tuesday,13,March,Mar,3,1,2005
20050323,3/23/2005,Wednesday,13,March,Mar,3,1,2005
20050324,3/24/2005,Thursday,13,March,Mar,3,1,2005
20050325,3/25/2005,Friday,13,March,Mar,3,1,2005
20050326,3/26/2005,Saturday,13,March,Mar,3,1,2005
20050327,3/27/2005,Sunday,14,March,Mar,3,1,2005
20050328,3/28/2005,Monday,14,March,Mar,3,1,2005
20050329,3/29/2005,Tuesday,14,March,Mar,3,1,2005
20050330,3/30/2005,Wednesday,14,March,Mar,3,1,2005
20050331,3/31/2005,Thursday,14,March,Mar,3,1,2005
20050401,4/1/2005,Friday,14,April,Apr,4,2,2005
20050402,4/2/2005,Saturday,14,April,Apr,4,2,2005
20050403,4/3/2005,Sunday,15,April,Apr,4,2,2005
20050404,4/4/2005,Monday,15,April,Apr,4,2,2005
20050405,4/5/2005,Tuesday,15,April,Apr,4,2,2005
20050406,4/6/2005,Wednesday,15,April,Apr,4,2,2005
20050407,4/7/2005,Thursday,15,April,Apr,4,2,2005
20050408,4/8/2005,Friday,15,April,Apr,4,2,2005
20050409,4/9/2005,Saturday,15,April,Apr,4,2,2005
20050410,4/10/2005,Sunday,16,April,Apr,4,2,2005
20050411,4/11/2005,Monday,16,April,Apr,4,2,2005
20050412,4/12/2005,Tuesday,16,April,Apr,4,2,2005
20050413,4/13/2005,Wednesday,16,April,Apr,4,2,2005
20050414,4/14/2005,Thursday,16,April,Apr,4,2,2005
20050415,4/15/2005,Friday,16,April,Apr,4,2,2005
20050416,4/16/2005,Saturday,16,April,Apr,4,2,2005
20050417,4/17/2005,Sunday,17,April,Apr,4,2,2005
20050418,4/18/2005,Monday,17,April,Apr,4,2,2005
20050419,4/19/2005,Tuesday,17,April,Apr,4,2,2005
20050420,4/20/2005,Wednesday,17,April,Apr,4,2,2005
20050421,4/21/2005,Thursday,17,April,Apr,4,2,2005
20050422,4/22/2005,Friday,17,April,Apr,4,2,2005
20050423,4/23/2005,Saturday,17,April,Apr,4,2,2005
20050424,4/24/2005,Sunday,18,April,Apr,4,2,2005
20050425,4/25/2005,Monday,18,April,Apr,4,2,2005
20050426,4/26/2005,Tuesday,18,April,Apr,4,2,2005
20050427,4/27/2005,Wednesday,18,April,Apr,4,2,2005
20050428,4/28/2005,Thursday,18,April,Apr,4,2,2005
20050429,4/29/2005,Friday,18,April,Apr,4,2,2005
20050430,4/30/2005,Saturday,18,April,Apr,4,2,2005
20050501,5/1/2005,Sunday,19,May,May,5,2,2005
20050502,5/2/2005,Monday,19,May,May,5,2,2005
20050503,5/3/2005,Tuesday,19,May,May,5,2,2005
